學號,10101性別,10102性別,10201性別,10202性別,10301性別,10302性別,10401性別,10402性別,10101身分甲,10102身分甲,10201身分甲,10202身分甲,10301身分甲,10302身分甲,10401身分甲,10402身分甲,10101身分乙,10102身分乙,10201身分乙,10202身分乙,10301身分乙,10302身分乙,10401身分乙,10402身分乙,10101身分丙,10102身分丙,10201身分丙,10202身分丙,10301身分丙,10302身分丙,10401身分丙,10402身分丙
410176040,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176041,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176042,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176043,女性,女性,女性,女性,女性,女性,女性,-,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176044,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176045,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176046,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176047,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176048,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176049,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176050,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176051,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176052,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176053,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176054,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176055,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176056,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176057,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176058,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176059,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176060,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176061,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176062,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176063,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176064,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176065,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176066,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176067,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176068,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176069,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176070,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176071,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176072,男性,男性,男性,-,-,-,-,-,一般生,一般生,一般生,-,-,-,-,-,指考分發生,指考分發生,指考分發生,-,-,-,-,-,一般生,一般生,一般生,-,-,-,-,-
410176073,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176074,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176075,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176077,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176078,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176079,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176080,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176082,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176083,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176084,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176085,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176086,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176087,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176088,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176089,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176090,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176091,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176092,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176093,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176094,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176095,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176097,男性,男性,男性,男性,男性,男性,男性,男性,原住民,原住民,原住民,原住民,原住民,原住民,原住民,原住民,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176099,女性,女性,女性,女性,-,-,-,-,原住民,原住民,原住民,原住民,-,-,-,-,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),-,-,-,-,一般生,一般生,一般生,一般生,-,-,-,-
410176100,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176101,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176102,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176103,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176104,女性,女性,女性,女性,女性,女性,女性,女性,原住民,原住民,原住民,原住民,原住民,原住民,原住民,原住民,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176105,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176106,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176107,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176108,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176109,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176110,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176111,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176112,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176113,女性,女性,女性,女性,女性,女性,女性,女性,原住民,原住民,原住民,原住民,原住民,原住民,原住民,原住民,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176114,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176115,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176116,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176117,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176118,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176119,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176120,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176121,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176122,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176123,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176124,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176125,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176126,男性,男性,男性,男性,男性,男性,男性,男性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176127,男性,男性,男性,男性,男性,-,-,-,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,-,-,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410176128,男性,男性,男性,男性,男性,男性,男性,男性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176129,女性,女性,女性,女性,女性,女性,女性,女性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176130,女性,女性,女性,女性,女性,女性,女性,女性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176131,女性,女性,女性,女性,女性,女性,女性,女性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410176132,男性,男性,男性,男性,男性,男性,男性,男性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410177001,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410177002,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410177003,男性,男性,男性,男性,-,-,-,-,一般生,一般生,一般生,一般生,-,-,-,-,指考分發生,指考分發生,指考分發生,指考分發生,-,-,-,-,一般生,一般生,一般生,一般生,-,-,-,-
410177004,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410177005,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
